epoch,phase,numSteps,numGames,averageReward,minReward,maxReward,averageLoss,lastEpsilon,epochTime
1,train,250000,6377,-0.7004861220009403,-1,4,0.0172052423853,0.7750009,1732.824718
1,test,125000,196,5.9387755102040805,1,11,0.0,0.05,375.39298899999994
2,train,250000,6039,-0.6554065242589839,-1,4,0.00944436550673,0.5500008999999999,1937.1033889999999
2,test,125000,218,0.779816513761468,0,5,0.0,0.05,376.54060500000014
3,train,250000,5537,-0.6425862380350353,-1,4,0.00594753266475,0.32500090000000004,2098.0709989999996
3,test,125000,239,0.6317991631799159,0,6,0.0,0.05,374.18200200000047
4,train,250000,4630,-0.634557235421165,-1,3,0.00515100074447,0.10000090000000006,2144.435006999999
4,test,125000,215,1.613953488372093,0,5,0.0,0.05,373.6148069999999
5,train,250000,3166,-0.5457991156032868,-1,3,0.00421007440101,0.1,2108.4982789999995
5,test,125000,217,1.6221198156682015,0,5,0.0,0.05,374.5371630000009
6,train,250000,2915,-0.37941680960548907,-1,4,0.00444347986478,0.1,2088.76599
6,test,125000,200,3.9100000000000006,0,10,0.0,0.05,375.03811600000154
7,train,250000,3017,-0.38183626118660907,-1,4,0.00515217525634,0.1,2093.255285000001
7,test,125000,195,3.384615384615385,1,11,0.0,0.05,375.0333189999983
8,train,250000,3134,-0.40938098276962337,-1,4,0.00505599514076,0.1,2105.943890999999
8,test,125000,200,3.2949999999999986,1,7,0.0,0.05,371.42924199999834
9,train,250000,3245,-0.453929121725731,-1,4,0.00478053108332,0.1,2109.829123000003
9,test,125000,207,1.6714975845410625,0,6,0.0,0.05,374.4847689999988
10,train,250000,3724,-0.5749194414607972,-1,4,0.00483118189955,0.1,2112.9949799999995
10,test,125000,336,2.2142857142857153,0,7,0.0,0.05,376.6431049999992
11,train,250000,3990,-0.5676691729323294,-1,5,0.00501865543989,0.1,2119.7497809999986
11,test,125000,447,2.72035794183445,0,10,0.0,0.05,378.04715999999826
12,train,250000,3889,-0.42787348932887576,-1,7,0.00694997524103,0.1,2115.188751999998
12,test,125000,283,2.4134275618374574,0,8,0.0,0.05,376.19904099999985
13,train,250000,3482,-0.1849511774842054,-1,6,0.00477862854031,0.1,2112.1036139999997
13,test,125000,342,4.327485380116961,0,11,0.0,0.05,376.93866400000115
